"","day","project","time"
"1","2015-02-28","步行",1620
"2","2015-02-28","发呆",7620
"3","2015-02-28","家务",4320
"4","2015-02-28","讲电话",5040
"5","2015-02-28","交通",4740
"6","2015-02-28","起床等一系列行为",1800
"7","2015-02-28","上厕所",660
"8","2015-02-28","刷知乎",2880
"9","2015-02-28","听音乐",5640
"10","2015-02-28","微信",420
"11","2015-02-28","洗澡",4500
"12","2015-02-28","用膳",660
"13","2015-02-28","娱乐",0
"14","2015-02-28","阅读",7380
"15","2015-02-28","运动",3480
"16","2015-02-28","整理文件",1380
"17","2015-03-23","步行",2040
"18","2015-03-23","课堂学习",13140
"19","2015-03-23","刷牙洗脸摸脸",1920
"20","2015-03-23","刷知乎",9060
"21","2015-03-23","睡眠",28500
"22","2015-03-23","用膳",7980
"23","2015-03-23","娱乐",300
"24","2015-03-23","阅读",180
"25","2015-03-23","做实验",20160
